SITE_NAME,COEFF_VARIATION
0320BR,0.10556481548609291
0320KO,0.05349234257391125
0321BB,1.532165191480735
0321BR,0.4211965131938766
0321KO,0.04715307867857025
0322BB,0.11802213864653242
0322BR,0.6867334941866323
0322KO,0.6308644953610963
0323BB,1.553449020179715
0323BR,0.21837369283425598
0323KO,0.029543574056562823
0324BB,0.07785422161615474
0324BR,0.3547871926092179
0324KO,1.2048776413732676
0325BB,1.0165111678088607
0325BR,0.3506784288597764
0325KO,0.04208848810400814
0326BB,0.008859753627563591
0326BR,0.04812961596164248
0326KO,0.06143953527015055
0327BB,0.006508636705268872
0327BR,0.010650042681366946
0327KO,0.20978916433957792
0328BB,0.043579488831775086
0328BR,0.4527110649662027
0328KO,0.10409408149450697
0329BB,0.8534771291072338
0329BR,0.05646273905958287
0329KO,0.04223657840644225
0330BB,0.2249520687388486
0330BR,0.5550450606166107
0330KO,0.03669582770574476
0331BB,0.03308482527528818
0331BR,0.19221792288888018
0331KO,0.06834013782656043
0332BB,0.08016963478687
0332BR,0.37184331187378183
0332KO,0.1623004331944514
0333BB,0.13885913847886314
0333BR,0.12086768164550493
0333KO,0.17663582990016272
0334BR,0.6688673247395779
0334KO,0.22812395809358085
0335BB,0.06141236412473423
0335BR,0.09908283894493083
0335KO,0.08119436867276089
0336BB,0.20647394336527172
0336BR,0.07465179982976529
0336KO,0.04719618152684167
0337BB,0.12197261486291759
0337BR,0.006633922052719832
0337KO,0.09051120122869391
0338BB,0.08205917956102121
0338BR,0.05155685112107852
0338KO,0.0014456635640591362
0339BB,1.5587046846267043
0339BR,0.0701723438522245
0339KO,0.051799827600720806
0340BB,1.3809277821606911
0340KO,0.10973927910245886
0341BB,1.5941391247454368
0341BR,0.6398946556265613
0341KO,0.19685623666372296
0342BB,0.26094462116310274
0342BR,0.47762783972314005
0342KO,0.058619314177047535
0343BB,1.7125348797776985
0343BR,0.13716107591848276
0343KO,0.11059097731645602
0344BB,0.05757504650083221
0344BR,0.08816024385177164
0344KO,0.12040081712074806
0345BB,0.3954823841281252
0345BR,0.0872183909821394
0345KO,0.09208121226959264
0346BB,0.18689415453010974
0346BR,0.006076171455383057
0346KO,0.09656498072831725
0347BB,0.0328909823071202
0347BR,0.07677175490358552
0347KO,0.07148845930558642
0348BB,0.004532138814400805
0348BR,0.04322381426122044
0348KO,0.06149068827442125
0349BB,0.13029927629799168
0349BR,0.10356896671256616
0349KO,0.05318662549556542
0350BB,0.03709486399651864
0350BR,0.08948956085096832
0350KO,0.133095039761302
0351BB,0.030429762115557216
0351BR,0.07182302619755147
0351KO,0.12990692363125184
0352BB,0.031157179924398884
0352BR,0.051304439866584686
0352KO,0.04823710601593369
0353BB,0.07549033308794147
0353BR,0.09491634359009077
0353KO,0.0341938816154041
0354BR,1.5528899114749017
0354KO,0.2679687079743985
0355BB,0.055660770852077636
0355BR,0.048700817416503527
0355KO,0.04764308555874811
0356BB,0.22923959849300155
0356BR,0.03349160308614295
0356KO,0.43346014912264824
0357BB,0.14972335225302505
0357BR,0.5063907677419411
0357KO,0.08480388839428943
0358BB,0.0028169384346597346
0358BR,0.03014103873961611
0358KO,0.08598313300958224
0359BB,0.22010659069778502
0359BR,0.4350089925087736
0359KO,0.06560723777774662
